Brand,Category_URL,Price_Rs,Product_Code,Product_Name,Product_URL,Rating,Seller
House Of Accessories,https://www.myntra.com/surgical-masks,499,12046636,House Of Accessories Adults Blue 30 Pcs Reusable 3-Ply Surgical Masks with Nosepin,https://www.myntra.com/outdoor-masks/house-of-accessories/house-of-accessories-adults-blue-30-pcs-reusable-3-ply-surgical-masks-with-nosepin/12046636/buy,0,Finesse Creations Inc
Hubberholme,https://www.myntra.com/surgical-masks,324,12052858,Hubberholme Unisex Pack Of 50 3-Ply Surgical Masks,https://www.myntra.com/outdoor-masks/hubberholme/hubberholme-unisex-pack-of-50-3-ply-surgical-masks-/12052858/buy,0,Indiflashmart
LONDON FASHION hob,https://www.myntra.com/surgical-masks,989,12052866,LONDON FASHION hob Unisex Pack Of 200 Pcs Blue Solid 4-Ply Protective Surgical Masks,https://www.myntra.com/outdoor-masks/london-fashion-hob/london-fashion-hob-unisex-pack-of-200-pcs-blue-solid-4-ply-protective-surgical-masks/12052866/buy,1,HOUSE OF BRANDS FASHION LLP
House Of Accessories,https://www.myntra.com/surgical-masks,999,12046638,House Of Accessories Adults Blue Pack of 70 Reusable 3-Ply Surgical Masks,https://www.myntra.com/outdoor-masks/house-of-accessories/house-of-accessories-adults-blue-pack-of-70-reusable-3-ply-surgical-masks/12046638/buy,1,Finesse Creations Inc
Clovia,https://www.myntra.com/surgical-masks,319,11815246,Clovia Adults Green 20 Pcs 3-Layer Surgical Masks,https://www.myntra.com/outdoor-masks/clovia/clovia-adults-green-20-pcs-3-layer-surgical-masks/11815246/buy,0,PURPLE PANDA FASHIONS PVT LTD
LONDON FASHION hob,https://www.myntra.com/surgical-masks,549,12052872,London Fashion Unisex Blue 100 Pcs 3-Ply Disposable Masks,https://www.myntra.com/outdoor-masks/london-fashion-hob/london-fashion-unisex-blue-100-pcs-3-ply-disposable-masks/12052872/buy,1,HOUSE OF BRANDS FASHION LLP
Status,https://www.myntra.com/surgical-masks,1124,11852730,Status Unisex 100 Pcs 3-Ply Disposable Surgical Masks,https://www.myntra.com/outdoor-masks/status/status-unisex-100-pcs-3-ply-disposable-surgical-masks/11852730/buy,0,M/S Chinar Forge Limited
ABELINO,https://www.myntra.com/surgical-masks,350,11822512,ABELINO 50 Pcs 3 Ply Blue Disposable Surgical Mask,https://www.myntra.com/outdoor-masks/abelino/abelino-50-pcs-3-ply-blue-disposable-surgical-mask/11822512/buy,3.6388888,ARIHANT TRADING COMPANY
LONDON FASHION hob,https://www.myntra.com/surgical-masks,369,12052868,LONDON FASHION hob Unisex 50 Pcs Blue Solid 4-Ply Anti-Pollution Surgical Masks,https://www.myntra.com/outdoor-masks/london-fashion-hob/london-fashion-hob-unisex-50-pcs-blue-solid-4-ply-anti-pollution-surgical-masks/12052868/buy,0,HOUSE OF BRANDS FASHION LLP
OOMPH,https://www.myntra.com/surgical-masks,494,12167408,OOMPH Unisex Blue Pack Of 50 3Ply Non Surgical Disposable Face Masks,https://www.myntra.com/outdoor-masks/oomph/oomph-unisex-blue-pack-of-50-3ply-non-surgical-disposable-face-masks/12167408/buy,0,MODEREF INC
SWAYAM,https://www.myntra.com/surgical-masks,424,11818872,SWAYAM Men 50 Pcs Green 3-Ply Disposable Surgical Face Masks,https://www.myntra.com/outdoor-masks/swayam/swayam-men-50-pcs-green-3-ply-disposable-surgical-face-masks/11818872/buy,0,LINEN DESIGN
Shakumbhari,https://www.myntra.com/surgical-masks,597,11871470,Shakumbhari Adults Blue 50 Pcs 3-Layer Surgical Masks,https://www.myntra.com/outdoor-masks/shakumbhari/shakumbhari-adults-blue-50-pcs-3-layer-surgical-masks/11871470/buy,0,MSD FABRICS
